change-speed,chepai-location,kilometer,price,shangpai-date,standard,title
,,,,,,
自动,青岛,12.93万公里,4.80,13年7个月,国四,奥迪-奥迪A7L 2006款 2.6 FSI 舒适娱乐型
自动,宁波,17.75万公里,5.90,13年2个月,国四,奥迪-奥迪A7L 2009款 2.4L 技术型
自动,成都,7.81万公里,16.68,5年9个月,国五,奥迪-奥迪A4L 2017款 35 TFSI 典藏版 S line舒适型
,,,,,,
自动,成都,10.39万公里,15.47,9年2个月,国四,奥迪-奥迪A7L 2012款 TFSI 舒适型
自动,成都,9.78万公里,10.50,10年4个月,国四,奥迪-奥迪A4L 2012款 2.0 TFSI 自动舒适型
,,,,,,
,,,,,,
自动,昆明,14.38万公里,8.00,10年6个月,国四,奥迪-奥迪A7L 2011款 2.4L 舒适型
,,,,,,
自动,清远,2.98万公里,13.50,2年4个月,国六,奥迪-奥迪A3 2019款 Limousine 35 TFSI 运动型
自动,邢台,1.13万公里,15.90,1年10个月,国六,奥迪-奥迪A3 2020款 Sportback 35 TFSI 时尚型
自动,潍坊,7.66万公里,18.50,3年5个月,国六,奥迪-奥迪A4L 2019款 40 TFSI 进取型
自动,西安,19.66万公里,23.68,8年5个月,国四,奥迪-奥迪A6 2013款 A6L 45 TFSI quattro舒适型
自动,广州,9.81万公里,17.00,4年7个月,国五,奥迪-奥迪A4L 2018款 Plus 40 TFSI 进取型
,,,,,,
自动,郑州,2.30万公里,25.90,1年8个月,国六,奥迪-奥迪A4L 2020款 40 TFSI 时尚致雅型
自动,温州,10.03万公里,10.80,10年1个月,国四,奥迪-奥迪A5 2012款 2.0TFSI Coupe
,,,,,,
自动,临沂,6.08万公里,27.00,7年4个月,国四,奥迪-奥迪Q8 2015款 35 TFSI 进取型
自动,吉安,0.06万公里,35.00,4个月,国六,奥迪-奥迪Q5L 2021款 40 TFSI 时尚动感型
自动,成都,4.32万公里,18.00,3年8个月,国五,奥迪-奥迪Q3 2016款 30周年年型 30 TFSI 时尚型
自动,厦门,2.08万公里,15.00,4年5个月,国五,奥迪-奥迪Q3 2018款 30 TFSI 时尚型
自动,鹤壁,6.44万公里,15.00,5年10个月,国四,奥迪-奥迪A4L 2017款 35 TFSI 典藏版 自动标准型
自动,合肥,3.46万公里,18.00,2年10个月,国五,奥迪-奥迪Q3 2016款 30 TFSI 时尚型典藏版
自动,中山,1.75万公里,15.68,1年4个月,国六,奥迪-奥迪A3 2020款 Limousine 35 TFSI 时尚型
自动,合肥,2.86万公里,30.00,2年6个月,国六,奥迪-奥迪Q5L 2016款 40 TFSI 荣享时尚型
自动,成都,11.24万公里,15.20,7年,国五,奥迪-奥迪A4L 2015款 45 TFSI quattro个性运动型
,,,,,,
自动,成都,3.10万公里,35.80,2年5个月,国六,奥迪-奥迪A7L 2019款 45 TFSI quattro 尊享动感型
,,,,,,
自动,成都,11.92万公里,6.20,10年6个月,国四,奥迪-奥迪A4L 2011款 2.0 TFSI 舒适型
自动,成都,6.26万公里,68.80,11年2个月,国四,阿斯顿·马丁-Rapide 2010款 7.0L
,,,,,,
,,,,,,
自动,汕头,5.45万公里,62.00,9年8个月,国四,阿斯顿·马丁-V6 Vantage 2012款 龙年66中国限量版
,,,,,,
,,,,,,
自动,东莞,3.45万公里,4.58,2年11个月,国五,宝骏-宝骏370 2016款 1.5L 自动豪华型
手动,成都,11.76万公里,0.95,11年3个月,国四,宝骏-乐驰 2010款 1.0L P-TEC手动优越型
,,,,,,
自动,郑州,4.59万公里,5.98,2年10个月,国六,宝骏-宝骏530 2019款 1.5T CVT豪华型 8座
手动,佛山,4.39万公里,3.50,4年11个月,国五,宝骏-宝骏510 2018款 1.5L 手动豪华型
,,,,,,
自动,佛山,0.85万公里,6.88,9个月,国六,宝骏-宝骏RS-3 2020款 1.5L CVT智能精英型
手动,苏州,5.07万公里,3.95,4年1个月,国五,宝骏-宝骏830 2017款 1.5L 手动舒适型 8座
自动,佛山,3.31万公里,6.68,2年8个月,国六,宝骏-宝骏830 2019款 1.5T CVT时尚型 8座
,,,,,,
,,,,,,
手动,成都,4.21万公里,4.28,3年2个月,国五,宝骏-宝骏310W 2018款 1.5L 手动舒适型
自动,北京,1.28万公里,8.80,1年,国六,宝骏-宝骏Valli 2021款 1.5T 那曲繁星 CVT旗舰型
手动,廊坊,9.70万公里,2.88,4年1个月,国五,宝骏-宝骏310W 2018款 1.5L 手动时尚型
自动,成都,2.74万公里,8.28,2年8个月,国六,宝骏-宝骏RM-5 2019款 1.5T CVT 24小时在线豪华型 7座
手动,成都,7.51万公里,3.60,6年,国五,宝骏-宝骏570 2015款 1.6L 手动豪华型
,,,,,,
手动,重庆,5.12万公里,4.00,5年6个月,国五,宝骏-宝骏570 2017款 1.6L 手动豪华型
,,,,,,
手动,包头,5.61万公里,3.20,5年4个月,国五,宝骏-宝骏570 2017款 1.6L 手动舒适型
手动,合肥,6.11万公里,3.80,5年1个月,国五,宝骏-宝骏570 2018款 律动版 1.5T 手动尊享型
自动,周口,6.81万公里,1.70,9年3个月,国四,宝骏-宝骏730 2012款 1.5L DVVT自动舒适型
自动,重庆,5.02万公里,4.18,4年5个月,国五,宝骏-宝骏510 2018款 1.5L 自动豪华型
手动,唐山,1.66万公里,6.15,10个月,国六,宝骏-宝骏830 2019款 1.5L 手动时尚型 8座
手动,郑州,5.01万公里,3.00,6年10个月,国四,宝骏-宝骏830 2014款 1.5L 手动豪华导航ESP版 8座
自动,肇庆,7.27万公里,3.10,5年8个月,国五,宝骏-宝骏570 2017款 1.6L iAMT豪华型
,,,,,,
自动,茂名,0.93万公里,6.98,1年9个月,国六,宝骏-宝骏RS-3 2020款 1.5L CVT  24小时在线豪华型
手动,哈尔滨,8.38万公里,5.30,5年5个月,国五,宝骏-宝骏830 2017款 1.5T 手动豪华型 8座
手动,郑州,9.30万公里,2.88,6年10个月,国四,宝骏-宝骏830 2014款 1.5L 手动舒适型 8座
手动,武汉,7.38万公里,2.90,6年7个月,国四,宝骏-宝骏830 2014款 1.5L 手动豪华导航ESP版 8座
手动,郑州,4.54万公里,2.58,5年7个月,国五,宝骏-宝骏310 2017款 1.2L 手动豪华型
手动,东莞,9.57万公里,3.88,5年4个月,国五,宝骏-宝骏830 2017款 改款 1.5L 手动标准型 8座
,,,,,,
手动,新乡,3.36万公里,2.99,3年10个月,国五,宝骏-宝骏310 2017款 1.2L 手动超值型
手动,保定,6.93万公里,3.50,6年7个月,国四,宝骏-宝骏830 2014款 1.5L 手动标准型 5座
手动,钦州,5.53万公里,4.00,6年1个月,国四,宝骏-宝骏570 2015款 1.6L 手动精英型
手动,东莞,5.00万公里,2.00,4年8个月,国五,宝骏-宝骏310 2017款 1.2L 手动舒适型
自动,成都,3.93万公里,3.98,3年9个月,国五,宝骏-宝骏510 2018款 1.5L 自动豪华型
